Updated at,item_number,item_name,revision,procurement_type,unit_of_measure,category_name,lifecycle_phase,vendor,Product Alias,Parent Product LPN,Parent Product Name,CM,Product Usage per ESS,Flat Qty,Sourcing Flat Qty
08-04-2026,10-000564,CAP CER 1.2PF 50V C0G/NPO 0402 AEC-Q,1,OTS,Each,Electrical Components,Sunset - Phase Out,,9.6 KW Inverter,90-06889C,"Inverter 9.6kW with Cover and Brackets, Boxed, Lunar Blue",Sienna,1,1,1
08-04-2026,10-003671,"Home Controller,Molded",6,MTS,Each,Assembly,In Production,,9.6 KW Inverter,90-06889C,"Inverter 9.6kW with Cover and Brackets, Boxed, Lunar Blue",Sienna,1,1,0
08-04-2026,10-07377A,"Foam Tape, Adhesive, Double Sided, 7.7mm",1,OTS,Millimeter Square,Part,In Production,A//Singleton,Maximizer Box,90-06831D,"Maximizer, Boxed",Sienna,1,7440,0
08-04-2026,10-06919A,TERM BLK 4POS SIDE ENTRY 5MM PCB,2,OTS,Each,Electrical Components,In Production,,MSAC,90-06700A,"MSA Controller, Boxed",Qualitel,1,1,1
08-04-2026,10-000903,"Plug,Conduit,Sealing,Stepped,3/4""",1,OTS,Each,Part,In Production,A//Open AML,MSAC,90-06700A,"MSA Controller, Boxed",Qualitel,1,1,1
08-04-2026,10-000903,"Plug,Conduit,Sealing,Stepped,3/4""",1,OTS,Each,Part,In Production,A//Open AML,9.6 KW Inverter,90-06889C,"Inverter 9.6kW with Cover and Brackets, Boxed, Lunar Blue",Sienna,1,4,4
08-04-2026,20-005485,"PCB, Lunar Bridge Interface Board, Type B",2,MTS,Each,PCB,In Production,GS//Sunshine PCB,Bridge,90-06801A,"Bridge, Type B, Boxed, Lunar Blue",Sienna,1,1,1
08-04-2026,10-07372A,"VOLTAGE TEMPERATURE SENSE HARNESS, A, BLACK",1,OTS,Each,Part,In Production,A//ACE Battery,2.0 LFP - EVT with cover,90-06948C,LFP Battery Block with ESS Cover and Wall Bracket,Qualitel,4,1,0
08-04-2026,10-07372A,"VOLTAGE TEMPERATURE SENSE HARNESS, A, BLACK",1,OTS,Each,Part,In Production,A//ACE Battery,2.0 LFP - EVT without cover,90-07675A,LFP Battery Block with Wall Bracket,Qualitel,4,1,0
08-04-2026,10-07267A,CAP CER 1UF 450V X7T 2220,1,OTS,Each,Electrical Components,In Planning,,2.1 LFP Block,90-08373A,"Battery Block with Wall Bracket, LFP, L2.1",Qualitel,4,6,6
08-04-2026,10-006817,IND FIXED 3.3NH 700MA 45MOHM SMD 0603,1,OTS,Each,Electrical Components,In Design,,11 KW Inverter,90-08096A,"Lunar 3 Inverter, Boxed",TBD,1,1,1
08-04-2026,10-07199A,CONN HEADER VERT 8POS 2.54MM PTH 18.8MM L X 22.05MM D X 28.05MM H,1,OTS,Each,Electrical Components,In Design,,11 KW Inverter,90-08096A,"Lunar 3 Inverter, Boxed",TBD,1,1,1
08-04-2026,10-000660,RES 120 OHM 1% 1/2W 1206 AEC-Q,1,OTS,Each,Electrical Components,In Production,,Terminal PCBA (TRM),10-06103C,"PCBA, Terminal Board, Type C, Coated",Qualitel,1,10,10
08-04-2026,10-000660,RES 120 OHM 1% 1/2W 1206 AEC-Q,1,OTS,Each,Electrical Components,In Production,,MSAC,90-06700A,"MSA Controller, Boxed",Qualitel,1,4,4
08-04-2026,10-000660,RES 120 OHM 1% 1/2W 1206 AEC-Q,1,OTS,Each,Electrical Components,In Production,,Bridge,90-06801A,"Bridge, Type B, Boxed, Lunar Blue",Sienna,1,4,4
08-04-2026,10-000660,RES 120 OHM 1% 1/2W 1206 AEC-Q,1,OTS,Each,Electrical Components,In Production,,9.6 KW Inverter,90-06889C,"Inverter 9.6kW with Cover and Brackets, Boxed, Lunar Blue",Sienna,1,10,10
08-04-2026,10-000660,RES 120 OHM 1% 1/2W 1206 AEC-Q,1,OTS,Each,Electrical Components,In Production,,11 KW Inverter,90-08096A,"Lunar 3 Inverter, Boxed",TBD,1,35,35
08-04-2026,10-004995,"Ground Sheet, Wiring Compartment, Inverter, D",3,MTS,Each,Part,In Production,A//Metcam,9.6 KW Inverter,90-06889C,"Inverter 9.6kW with Cover and Brackets, Boxed, Lunar Blue",Sienna,1,1,1
08-04-2026,10-07086A,"Terminal, Female, Amphenol, Nickel Plt, 13A,18-20AWG",1,OTS,Each,Part,In Production,,HW Kit,90-001223,"20kWh Hardware Kit, Lunar Blue",Sienna,1,14,0
08-04-2026,10-07086A,"Terminal, Female, Amphenol, Nickel Plt, 13A,18-20AWG",1,OTS,Each,Part,In Production,,LFP HW Kit,90-07290A,20kWh LFP ESS Hardware Kit,Sienna,1,14,0
08-04-2026,10-006582,CAP CER 1000PF 2KV X7R 1206,1,OTS,Each,Electrical Components,In Production,,Maximizer Box,90-06831D,"Maximizer, Boxed",Sienna,1,20,20
