cm,part,description,state,first_shortage_date,shortage_qty,opening,undated,products
Qualitel,10-001714,FERRITE BEAD 120 OHM 0603 1LN,IN_PRODUCTION,2027-02-08,86845.51612903227,140869.0,0.0,"MSAC, Terminal PCBA (TRM)"
Qualitel,10-005077,CAP CER 1UF 50V X7R 0603,IN_PRODUCTION,2027-02-08,415702.6129032258,70390.0,0.0,"2.1 LFP Block, Power PCBA (IPC), Terminal PCBA (TRM)"
Sienna,10-001853,IC REG LIN 3.3V 400MA 8DSO E-PAD AEC-Q,IN_PRODUCTION,2027-02-15,775.3870967741932,4781.0,0.0,9.6 KW Inverter
Sienna,10-005159,"Inductor Housing Plastic Pin Receptacle, D",IN_PRODUCTION,2027-02-15,740.3870967741937,2871.0,0.0,9.6 KW Inverter
Sienna,10-006698,MOSFET N-CH 55V 5.1A SOT223,IN_PRODUCTION,2027-02-15,1486.7741935483864,9626.0,0.0,9.6 KW Inverter
Sienna,10-001323,IC REG LINEAR 3.3V 450MA 5TSOP AEC-Q,IN_PRODUCTION,2027-02-15,1530.7741935483864,9582.0,0.0,9.6 KW Inverter
Sienna,10-002772,DGTL ISO 3.75KV GATE DRVR 16SOIC,IN_PRODUCTION,2027-02-15,1532.7741935483864,9110.0,0.0,9.6 KW Inverter
Sienna,10-003717,"Terminal Connector, Pin, 3.4mm x 45mm, PWB Fastener Mount, 75A, 7mm Drive",IN_PRODUCTION,2027-02-15,2110.1612903225796,9004.0,0.0,9.6 KW Inverter
Sienna,10-004501,"55V, 3A, HALF-BRIDGE POWER DRIVE",IN_PRODUCTION,2027-02-15,2133.1612903225796,14536.0,0.0,9.6 KW Inverter
Qualitel,10-000989,OPTOISOLATOR 5KV TRANSISTOR 4SMD,IN_PRODUCTION,2027-02-15,28938.61290322581,11763.0,0.0,"2.1 LFP Block, Terminal PCBA (TRM)"
Qualitel,10-06720A,CONN HEADER SMD 6POS MALE 1.27MM,IN_PRODUCTION,2027-02-15,3170.4516129032263,2036.0,0.0,MSAC
Qualitel,10-07029A,"Label, Compliance, MSA Controller",IN_PRODUCTION,2027-02-15,3231.4516129032263,2975.0,0.0,MSAC
Sienna,10-003072,CAP CER 33NF 1000V C0G 2220 AEC-Q,IN_PRODUCTION,2027-02-15,7408.483870967742,26599.0,0.0,9.6 KW Inverter
Qualitel,10-000692,CAP CER 8PF 50V NP0 0402,IN_PRODUCTION,2027-02-15,12860.61290322581,22441.0,0.0,"MSAC, Terminal PCBA (TRM)"
Qualitel,10-000842,CAP CER 22PF 50V C0G/NPO 0402 AEC-Q,IN_PRODUCTION,2027-02-15,32301.516129032258,29763.0,0.0,MSAC
