Updated at,source_report,raw_part_number,lpn,description,item_category,procurementtype,location,storage_location,is_consigned,owned_by,unrestricted_qty,restricted_qty,unit_price,unrestricted_value,restricted_value,revision_number,row_type,uncommitted_qty
08-04-2026,CM: Sienna GA,10-001581 REV-01,10-001581,SPEED & CURRENT SENSORS PG-TISON,Electrical Components,OTS,ATLN,MAIN,FALSE,Sienna Corporation,565,0,2.53,1429.45,0,1,Unrestricted,565
08-04-2026,CM: Sienna GA,10-001583 REV-1,10-001583,TERM REDCUBE M3 9PIN PCB,Electrical Components,OTS,ATLN,LPAC,FALSE,Sienna Corporation,1017,0,0.46,467.82,0,1,Unrestricted,1017
08-04-2026,CM: Sienna GA,10-001583 REV-1,10-001583,TERM REDCUBE M3 9PIN PCB,Electrical Components,OTS,ATLN,LINE,FALSE,Sienna Corporation,1095,0,0.46,503.7,0,1,Unrestricted,1095
08-04-2026,CM: Sienna GA,10-001583 REV-1,10-001583,TERM REDCUBE M3 9PIN PCB,Electrical Components,OTS,ATLN,MAIN,FALSE,Sienna Corporation,27373,0,0.46,12591.58,0,1,Unrestricted,27373
08-04-2026,CM: Qualitel WA,814L-10-001583,10-001583,TERM REDCUBE M3 9PIN PCB,Electrical Components,OTS,"Seattle, WA",Stock,FALSE,Qualitel,34273,0,0.29,9939.17,0,0,Unrestricted,34273
08-04-2026,CM: Sienna GA,10-001595 REV-01,10-001595,ADDRESS LED DISC SERIAL RGB 1=10,Electrical Components,OTS,ATLN,RIQC,FALSE,Sienna Corporation,4000,0,0.214,856,0,1,Unrestricted,4000
08-04-2026,CM: Sienna GA,10-001595 REV-01,10-001595,ADDRESS LED DISC SERIAL RGB 1=10,Electrical Components,OTS,ATLN,MAIN,FALSE,Sienna Corporation,6130,0,0.214,1311.82,0,1,Unrestricted,6130
08-04-2026,CM: Sienna GA,10-001595 REV-01,10-001595,ADDRESS LED DISC SERIAL RGB 1=10,Electrical Components,OTS,ATLN,LINE,FALSE,Sienna Corporation,637,0,0.214,136.318,0,1,Unrestricted,637
08-04-2026,Lunar Netsuite,10-001598,10-001598,RES SMD 1K OHM 1% 1/10W 0603,Electrical Components,OTS,NexGen Digital Inc,NS,FALSE,Lunar Energy,1135000,0,0.0017,1929.5,0,0,Unrestricted,1135000
08-04-2026,CM: Sienna GA,10-001598 REV-01,10-001598,RES SMD 1K OHM 1% 1/10W 0603,Electrical Components,OTS,ATLN,MAIN,FALSE,Sienna Corporation,104998,0,0.0012,125.9976,0,1,Unrestricted,104998
