,cm,part,description,item_category,cm_on_hand,cm_on_order,cm_unit_price,cm_price_source,lunar_on_hand_alloc,lunar_on_order_alloc,lunar_unit_price,obsolescence_state,projection_type,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07
3343,Qualitel,10-07754A,"Packaging, LFP BB + WB, WB Tray",Part,2160,15680,1.04,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3344,Lunar,10-07754A,"Packaging, LFP BB + WB, WB Tray",Part,0,0,1.04,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3345,Lunar,10-003232,0,0,0,0,0,,0,2100,0.291,Gen 2 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3346,Sienna,10-003358,CAP FILM 0.22UF 10% 1KVDC RADIAL,Electrical Components,1620,0,0,,0,0,0.9567358161648177,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3347,Lunar,10-003358,CAP FILM 0.22UF 10% 1KVDC RADIAL,Electrical Components,0,0,0,,12620,0,0.9567358161648177,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3348,Sienna,10-002170,RES SMD 22 OHM 5% 1/4W 1206 AEC-Q,Electrical Components,68216,35000,0.006920551576714946,CM On-Hand,35000,0,0.0102,Active in Both,CM Depletion,503,397,366,368,349,271,199,140,131,131,131,131,131
3349,Qualitel,10-002170,RES SMD 22 OHM 5% 1/4W 1206 AEC-Q,Electrical Components,50607,0,0.006920551576714946,CM On-Hand,0,0,0.0102,Active in Both,CM Depletion,364,309,271,232,198,193,193,193,193,193,193,193,193
3350,Lunar,10-002170,RES SMD 22 OHM 5% 1/4W 1206 AEC-Q,Electrical Components,0,0,0.006920551576714946,CM On-Hand,5000,40000,0.0102,Active in Both,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3351,Sienna,10-000659,RES SMD 100 OHM 1% 1/16W 0402 AEC-Q,Electrical Components,111276,0,0.0008396677705230133,CM On-Hand,2636,0,0.0016,Active in Both,CM Depletion,93,81,70,58,48,39,31,24,18,12,5,0,0
3352,Qualitel,10-000659,RES SMD 100 OHM 1% 1/16W 0402 AEC-Q,Electrical Components,37898,80000,0.0008396677705230133,CM On-Hand,7363,0,0.0016,Active in Both,CM Depletion,28,51,40,29,19,42,32,24,13,2,0,0,0
3353,Lunar,10-000659,RES SMD 100 OHM 1% 1/16W 0402 AEC-Q,Electrical Components,0,0,0.0008396677705230133,CM On-Hand,0,40000,0.0016,Active in Both,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3354,Lunar,10-002220,"PCBA Module, Bridge",Part,0,0,0,,2,0,94.09,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3355,Sienna,10-005763,"Inverter Packaging, V Board",Part,8688,11232,0,,0,0,0,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3356,Lunar,10-005763,"Inverter Packaging, V Board",Part,0,0,0,,0,0,0,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3357,Sienna,10-002502,RES 1.91K OHM 1% 1/16W 0402,Electrical Components,11751,0,0.0012,CM On-Hand,0,0,0.0012,Gen 1 Only,CM Depletion,14,13,13,12,11,10,9,9,9,9,9,9,9
3358,Lunar,10-002502,RES 1.91K OHM 1% 1/16W 0402,Electrical Components,0,0,0.0012,CM On-Hand,20000,0,0.0012,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3359,Sienna,10-002854,FIXED IND 6.8UH 3.6A 36 MOHM SMD,Electrical Components,2662,3000,0.12399999999999999,CM On-Hand,0,0,0.124,Gen 1 Only,CM Depletion,384,658,565,474,403,393,393,393,393,393,393,393,393
3360,Lunar,10-002854,FIXED IND 6.8UH 3.6A 36 MOHM SMD,Electrical Components,0,0,0.12399999999999999,CM On-Hand,0,3000,0.124,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
