,cm,part,description,item_category,cm_on_hand,cm_on_order,cm_unit_price,cm_price_source,lunar_on_hand_alloc,lunar_on_order_alloc,lunar_unit_price,obsolescence_state,projection_type,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07
805,Sienna,10-001439,CURRENT SENSOR W/OVERCURRENT FAU,Electrical Components,137278,0,0.11039872667142586,CM On-Hand,77814,0,0.31339999999999996,Gen 1 Only,CM Depletion,5209,1690,0,0,0,0,0,0,0,0,0,0,0
806,Lunar,10-001439,CURRENT SENSOR W/OVERCURRENT FAU,Electrical Components,0,0,0.11039872667142586,CM On-Hand,18570,0,0.31339999999999996,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
807,Lunar,10-003227,0,0,0,0,0,,0,8000,0.1056,Gen 2 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
808,Sienna,10-006231,"Thermal Gap Filler, Curing, 6.5 W/mK, Two Part Dispensed",Part,92147,310,0.295,CM On-Hand,12000,0,0.325,Gen 1 Only,CM Depletion,29352,19487,2967,0,0,0,0,0,0,0,0,0,0
809,Lunar,10-006231,"Thermal Gap Filler, Curing, 6.5 W/mK, Two Part Dispensed",Part,0,0,0.295,CM On-Hand,0,0,0.325,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
810,Sienna,10-07693A,"Label, Compliance, LFP ESS DC Expansion Unit",Assembly,5107,0,0,,0,0,0,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
811,Lunar,10-07693A,"Label, Compliance, LFP ESS DC Expansion Unit",Assembly,0,0,0,,0,0,0,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
812,Qualitel,10-006678,CAP CER 10NF 100V X7R 0603,Electrical Components,54881,112000,0.0031,CM On-Hand,0,0,0.019,Active in Both,CM Depletion,152,109,175,126,100,332,332,332,332,332,332,332,332
813,Lunar,10-006678,CAP CER 10NF 100V X7R 0603,Electrical Components,0,0,0.0031,CM On-Hand,0,1400,0.019,Active in Both,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
814,Qualitel,10-005451,0,0,0,305000,0.0007,CM On-Order,0,0,0,Gen 2 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
815,Lunar,10-005451,0,0,0,0,0.0007,CM On-Order,0,0,0,Gen 2 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
816,Lunar,10-08126A,0,0,0,0,0,,0,100,15.33,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
817,Lunar,10-004481,IC TRANSLTR BIDIRECTIONAL 8TSSOP,Electrical Components,0,0,0,,9000,0,0.26,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
818,Sienna,10-06732A,"Label, Warning, PCS",Part,10317,0,0.36,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,3888,3718,3465,3211,2957,2703,2460,2217,1974,1695,1380,1029,694
819,Lunar,10-06732A,"Label, Warning, PCS",Part,0,0,0.36,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
820,Sienna,10-001595,ADDRESS LED DISC SERIAL RGB 1=10,Electrical Components,10767,5000,0.214,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,2938,2394,1880,2422,1968,1568,1198,890,845,845,845,845,845
821,Lunar,10-001595,ADDRESS LED DISC SERIAL RGB 1=10,Electrical Components,0,0,0.214,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
822,Sienna,10-003063,RES SMD 64.9K OHM 1% 1/10W 0603 AEC-Q,Electrical Components,60557,0,0.004504613806076498,CM On-Hand,0,0,0.0038,Gen 1 Only,CM Depletion,277,262,248,233,220,209,199,190,189,189,189,189,189
823,Qualitel,10-003063,RES SMD 64.9K OHM 1% 1/10W 0603 AEC-Q,Electrical Components,27158,0,0.004504613806076498,CM On-Hand,0,0,0.0038,Gen 1 Only,CM Depletion,124,116,111,105,100,100,100,100,100,100,100,100,100
824,Lunar,10-003063,RES SMD 64.9K OHM 1% 1/10W 0603 AEC-Q,Electrical Components,0,0,0.004504613806076498,CM On-Hand,70000,5000,0.0038,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
825,Qualitel,10-001645,"Screw,4-20X PLAST 0.375 in,BHT,T/F,Steel",Part,108229,264261,0.058,CM On-Hand,140,0,0.0509,Active in Both,CM Depletion,5386,11508,9213,6793,5471,5290,12250,12250,12250,12250,12250,12250,12250
826,Lunar,10-001645,"Screw,4-20X PLAST 0.375 in,BHT,T/F,Steel",Part,0,0,0.058,CM On-Hand,0,0,0.0509,Active in Both,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
827,Celestica,10-001645,"Screw,4-20X PLAST 0.375 in,BHT,T/F,Steel",Part,0,0,0.058,CM On-Hand,0,0,0.0509,Active in Both,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
828,Lunar,10-006831,IC SDRAM DDR4 MEMORY 16Gbit 96-FBGA (9x13),Electrical Components,0,0,0,,142,0,35.49,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
829,Lunar,10-000224,Vertical Header,Electrical Components,0,0,0,,4746,0,0.9640000000000001,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
830,Sienna,10-002322,"Wire Harness, G/N Bond, Bridge",Part,1695,3040,3.57,CM On-Hand,31,0,4.17,Gen 1 Only,CM Depletion,6380,11752,10574,9396,8218,7040,5969,4898,3827,2399,614,0,0
831,Lunar,10-002322,"Wire Harness, G/N Bond, Bridge",Part,0,0,3.57,CM On-Hand,0,0,4.17,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
832,Lunar,10-001638,0,0,0,0,0,,0,5400,0.0209,Gen 2 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
833,Qualitel,10-08379A,0,0,0,5000,0,,0,0,0,Gen 2 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
834,Lunar,10-08379A,0,0,0,0,0,,0,0,0,Gen 2 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
835,Lunar,10-006975,0,0,0,0,0,,0,9000,0.0327,Gen 2 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
836,Qualitel,10-07385A,0,0,0,42000,0.133,CM On-Order,0,0,0,Gen 2 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
837,Lunar,10-07385A,0,0,0,0,0.133,CM On-Order,0,0,0,Gen 2 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
838,Sienna,10-001440,IC OPAMP GP 2 CIRCUIT 8TSSOP,Electrical Components,202366,129994,0.02731727661761363,CM On-Hand,99994,0,0.06139242976017511,Active in Both,CM Depletion,2968,4283,3452,3963,3210,3105,3105,3105,3105,3105,3105,3105,3105
839,Lunar,10-001440,IC OPAMP GP 2 CIRCUIT 8TSSOP,Electrical Components,0,0,0.02731727661761363,CM On-Hand,6000,0,0.06139242976017511,Active in Both,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
840,Sienna,10-002933,RES 715 OHM 1% 1/10W 0603 AEC-Q,Electrical Components,12478,0,0.0012233262162574348,CM On-Hand,0,0,0.0018,Gen 1 Only,CM Depletion,16,15,13,12,11,9,8,7,7,6,6,5,4
841,Qualitel,10-002933,RES 715 OHM 1% 1/10W 0603 AEC-Q,Electrical Components,13750,0,0.0012233262162574348,CM On-Hand,0,0,0.0018,Gen 1 Only,CM Depletion,17,16,16,16,15,15,15,15,15,15,15,15,15
842,Lunar,10-002933,RES 715 OHM 1% 1/10W 0603 AEC-Q,Electrical Components,0,0,0.0012233262162574348,CM On-Hand,0,5000,0.0018,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
843,Sienna,10-003124,"Light Pipe Trio, Molded",Part,504,0,11.68,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
844,Lunar,10-003124,"Light Pipe Trio, Molded",Part,0,0,11.68,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
845,Qualitel,10-006672,RES 200K OHM 1% 1/16W 0402,Electrical Components,14051,0,0.0008,CM On-Hand,0,0,0,Active in Both,CM Depletion,11,10,9,9,8,7,6,5,4,3,3,1,0
846,Lunar,10-006672,RES 200K OHM 1% 1/16W 0402,Electrical Components,0,0,0.0008,CM On-Hand,0,0,0,Active in Both,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
847,Sienna,10-000627,2 x 3 Beige Conn Header SMD 6POS 2.5MM,Electrical Components,9247,4500,0.6746678594902504,CM On-Hand,0,0,0.825,Gen 1 Only,CM Depletion,7064,5347,3728,3277,3058,2405,1239,267,125,125,125,125,125
848,Qualitel,10-000627,2 x 3 Beige Conn Header SMD 6POS 2.5MM,Electrical Components,4446,0,0.6746678594902504,CM On-Hand,0,0,0.825,Gen 1 Only,CM Depletion,3089,2779,2568,2358,2172,2146,2146,2146,2146,2146,2146,2146,2146
849,Lunar,10-000627,2 x 3 Beige Conn Header SMD 6POS 2.5MM,Electrical Components,0,0,0.6746678594902504,CM On-Hand,0,1800,0.825,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
850,Celestica,10-000398,Busbar Tray with Interconnects,Part,0,0,0,,0,0,0,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
851,Lunar,10-000398,Busbar Tray with Interconnects,Part,0,0,0,,0,0,0,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
852,Lunar,60-006250,PCB Power Board Switch Node Traces,Non-Production Part,0,0,0,,6,0,0,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
853,Sienna,10-002692,"Standoff,M3,M/F,4.76mm M,2.81mm F,6mm Shldr,Brass,Zi Cr,Nylon Patch",Part,63055,0,0.13000000000000003,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,8361,7612,6364,5116,3887,2686,1828,970,112,112,112,112,112
854,Lunar,10-002692,"Standoff,M3,M/F,4.76mm M,2.81mm F,6mm Shldr,Brass,Zi Cr,Nylon Patch",Part,0,0,0.13000000000000003,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
855,Lunar,10-005794,"Connector,MC4,Male",Part,0,0,0,,100,0,2.16,Gen 2 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
856,Sienna,10-002225,"Bracket Assembly, PCBA, Bridge",Part,2288,1080,3.8699999999999997,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,9644,9276,7999,6722,6916,6993,7187,6026,4865,3317,1382,0,0
857,Lunar,10-002225,"Bracket Assembly, PCBA, Bridge",Part,0,0,3.8699999999999997,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
858,Lunar,10-08370A,0,0,0,0,0,,0,100,35.4487875,Gen 2 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
859,Qualitel,10-005390,0,0,0,205000,0.0007,CM On-Order,0,0,0,Gen 2 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
860,Lunar,10-005390,0,0,0,0,0.0007,CM On-Order,0,0,0,Gen 2 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
861,Sienna,10-07817A,"Wire Harness, Inverter Exterior, Blowers/Ambient T, D TP48",Assembly,34,2,0,,0,0,0,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
862,Lunar,10-07817A,"Wire Harness, Inverter Exterior, Blowers/Ambient T, D TP48",Assembly,0,0,0,,0,0,0,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
863,Sienna,10-07279A,"Asy, Harness, Trunk, 10 kWh, Type B",Part,100,0,0,,0,0,42,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
864,Lunar,10-07279A,"Asy, Harness, Trunk, 10 kWh, Type B",Part,0,0,0,,5,0,42,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
865,Lunar,10-006673,0,0,0,0,0,,0,5000,0.0036299999999999995,Gen 2 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
866,Lunar,10-07681A,IC DRAM 4GBIT POD 78FBGA,Electrical Components,0,0,0,,160,0,0,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
867,Qualitel,10-06572A,0,0,0,4310,16.7988,CM On-Order,0,0,0,Gen 1 Only,CM Depletion,0,0,0,168,1848,4368,6048,7727,10247,168,0,0,0
868,Lunar,10-06572A,0,0,0,0,16.7988,CM On-Order,0,0,0,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
869,Sienna,10-001228,CAP 10UF 25V X7S 0805 SOFT TERMINATION,Electrical Components,13521,0,0.1417203371278459,CM On-Hand,0,0,0.136,Gen 1 Only,CM Depletion,2221,1861,1521,1171,870,605,360,156,126,126,126,126,126
870,Qualitel,10-001228,CAP 10UF 25V X7S 0805 SOFT TERMINATION,Electrical Components,4751,0,0.1417203371278459,CM On-Hand,0,0,0.136,Gen 1 Only,CM Depletion,692,627,583,539,500,494,494,494,494,494,494,494,494
871,Lunar,10-001228,CAP 10UF 25V X7S 0805 SOFT TERMINATION,Electrical Components,0,0,0.1417203371278459,CM On-Hand,0,16000,0.136,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
872,Qualitel,10-006704,RES 4.99K OHM 1% 1/16W 0402,Electrical Components,8274,20000,0.0005,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,4,3,7,11,10,9,8,7,6,4,3,2,1
873,Lunar,10-006704,RES 4.99K OHM 1% 1/16W 0402,Electrical Components,0,0,0.0005,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
874,Sienna,10-004499,RES SMD 47 OHM 1% 1/2W 1206 AEC-Q,Electrical Components,8489,0,0.019679640371229698,CM On-Hand,0,0,0.03337037037037037,Active in Both,CM Depletion,171,154,138,122,108,96,84,75,74,74,74,74,74
875,Qualitel,10-004499,RES SMD 47 OHM 1% 1/2W 1206 AEC-Q,Electrical Components,8751,0,0.019679640371229698,CM On-Hand,0,0,0.03337037037037037,Active in Both,CM Depletion,175,166,160,154,148,147,147,147,147,147,147,147,147
876,Lunar,10-004499,RES SMD 47 OHM 1% 1/2W 1206 AEC-Q,Electrical Components,0,0,0.019679640371229698,CM On-Hand,0,21600,0.03337037037037037,Active in Both,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
877,Lunar,10-005203,Battery Block,Part,0,0,0,,197,0,85.7885807106599,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
878,Sienna,10-06953C,"Label,Compliance,Inverter",Assembly,8769,0,0.8,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,7077,6693,6053,5413,4782,4166,3726,3286,2846,2846,2846,2846,2846
879,Lunar,10-06953C,"Label,Compliance,Inverter",Assembly,0,0,0.8,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
880,Sienna,10-002579,"Offset Mounting Bracket, Wall, Bridge",Part,675,3466,2.16,CM On-Hand,6,0,3.2883,Gen 1 Only,CM Depletion,1657,3020,2307,3214,4121,4704,4920,4272,3624,2760,1680,384,0
881,Lunar,10-002579,"Offset Mounting Bracket, Wall, Bridge",Part,0,0,2.16,CM On-Hand,0,0,3.2883,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
882,Qualitel,10-07026A,0,0,0,273000,0.0319,CM On-Order,0,0,0,Gen 2 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
883,Lunar,10-07026A,0,0,0,0,0.0319,CM On-Order,0,0,0,Gen 2 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
884,Sienna,10-001527,"MC4 Pigtail, Male, 1250mm",Part,25076,90000,1.9400000000000002,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,53938,192764,163276,133788,104688,75588,75588,75588,75588,75588,75588,75588,75588
885,Lunar,10-001527,"MC4 Pigtail, Male, 1250mm",Part,0,0,1.9400000000000002,CM On-Hand,1250,0,0,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
886,Sienna,10-002204,"Bus Bar, NBU, L2, Bridge",Assembly,1841,1903,6.660000000000001,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,13253,12621,12408,10210,12008,13806,14472,12474,10476,7812,4482,486,0
887,Lunar,10-002204,"Bus Bar, NBU, L2, Bridge",Assembly,0,0,6.660000000000001,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
888,Sienna,10-002495,"32.768 kHz ±20ppm Crystal 9pF 90 kOhms 2-SMD, No Lead",Electrical Components,7393,0,0.5589999999999999,CM On-Hand,0,0,0.28,Active in Both,CM Depletion,4313,3839,3391,2931,2536,2187,1865,1597,1558,1558,1558,1558,1558
889,Lunar,10-002495,"32.768 kHz ±20ppm Crystal 9pF 90 kOhms 2-SMD, No Lead",Electrical Components,0,0,0.5589999999999999,CM On-Hand,15000,0,0.28,Active in Both,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
890,Sienna,10-002008,CAP CER 1UF 10V X7S 0402 AEC-Q,Electrical Components,6871,0,0.009637107025116406,CM On-Hand,2177,0,0.0114,Active in Both,CM Depletion,75,69,63,56,50,44,38,33,25,15,4,0,0
891,Qualitel,10-002008,CAP CER 1UF 10V X7S 0402 AEC-Q,Electrical Components,22552,20000,0.009637107025116406,CM On-Hand,4656,0,0.0114,Active in Both,CM Depletion,202,173,139,297,266,229,194,165,124,81,43,0,0
892,Lunar,10-002008,CAP CER 1UF 10V X7S 0402 AEC-Q,Electrical Components,0,0,0.009637107025116406,CM On-Hand,13167,0,0.0114,Active in Both,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
893,Sienna,10-002607,TVS DIODE 12VWM 19.9VC SOD123F,Electrical Components,12903,0,0.03172501743780516,CM On-Hand,0,0,0.07189999999999999,Gen 1 Only,CM Depletion,229,202,177,151,128,109,90,75,73,73,73,73,73
894,Lunar,10-002607,TVS DIODE 12VWM 19.9VC SOD123F,Electrical Components,0,0,0.03172501743780516,CM On-Hand,48000,0,0.07189999999999999,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
895,Sienna,10-003603,"Label, MAC Address, Maximizer Hub",Part,4392,4000,0.049999999999999996,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,227,405,368,330,295,264,264,264,264,264,264,264,264
896,Lunar,10-003603,"Label, MAC Address, Maximizer Hub",Part,0,0,0.049999999999999996,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
897,Lunar,10-006197,0,0,0,0,0,,0,2644,3.0994294402420572,Gen 2 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
898,Sienna,10-006271,CAP FILM 5UF 10% 600VDC RADIAL,Electrical Components,1391,3864,0.6108468589083419,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,958,440,0,629,1376,996,644,351,308,308,308,308,308
899,Qualitel,10-006271,CAP FILM 5UF 10% 600VDC RADIAL,Electrical Components,3464,0,0.6108468589083419,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,2197,1916,1726,1535,1367,1343,1343,1343,1343,1343,1343,1343,1343
900,Lunar,10-006271,CAP FILM 5UF 10% 600VDC RADIAL,Electrical Components,0,0,0.6108468589083419,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
901,Sienna,10-001173,RES SMD 150 OHM 0.1% 1/10W 0603,Electrical Components,8434,0,0.03132859736364354,CM On-Hand,0,0,0.036,Active in Both,CM Depletion,272,246,221,195,173,153,135,120,118,118,118,118,118
902,Qualitel,10-001173,RES SMD 150 OHM 0.1% 1/10W 0603,Electrical Components,4235,0,0.03132859736364354,CM On-Hand,0,0,0.036,Active in Both,CM Depletion,136,122,113,103,94,93,93,93,93,93,93,93,93
903,Lunar,10-001173,RES SMD 150 OHM 0.1% 1/10W 0603,Electrical Components,0,0,0.03132859736364354,CM On-Hand,0,6000,0.036,Active in Both,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
904,Sienna,10-002612,MOSFET N-CH 30V 350MA SOT23,Electrical Components,9171,6000,0.0178,CM On-Hand,6000,0,0.02736153846153846,Active in Both,CM Depletion,180,135,128,120,117,84,53,28,24,24,24,24,24
905,Lunar,10-002612,MOSFET N-CH 30V 350MA SOT23,Electrical Components,0,0,0.0178,CM On-Hand,111000,0,0.02736153846153846,Active in Both,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
906,Lunar,10-006842,RES ARRAY 4 RES 10K OHM 1206,Electrical Components,0,0,0,,95470,0,0.0143,Gen 2 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
907,Sienna,10-01267B,"Enclosure, Top, Maximizer",Part,39152,45000,0,,0,0,0,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
908,Lunar,10-01267B,"Enclosure, Top, Maximizer",Part,0,0,0,,0,0,0,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
909,Sienna,10-002246,"Nut, 1/4-20, Hex Head, Steel, Zn-Ni Plated",Part,43335,0,0.059,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,2569,2558,2519,2480,2441,2402,2367,2332,2296,2249,2190,2119,2048
910,Lunar,10-002246,"Nut, 1/4-20, Hex Head, Steel, Zn-Ni Plated",Part,0,0,0.059,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
911,Sienna,10-001674,DIODE GEN PURP 600V 1A SMA,Electrical Components,45224,0,0.05795508444549427,CM On-Hand,0,0,0.0653,Gen 1 Only,CM Depletion,2762,2411,2076,1729,1431,1157,902,690,595,506,407,287,181
912,Qualitel,10-001674,DIODE GEN PURP 600V 1A SMA,Electrical Components,22512,0,0.05795508444549427,CM On-Hand,0,0,0.0653,Gen 1 Only,CM Depletion,1351,1191,1082,974,878,865,865,865,865,865,865,865,865
913,Lunar,10-001674,DIODE GEN PURP 600V 1A SMA,Electrical Components,0,0,0.05795508444549427,CM On-Hand,0,15000,0.0653,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
914,Sienna,10-000657,RES SMD 750 OHM 1% 1/16W 0402 AEC-Q,Electrical Components,63833,0,0.0013504650320086968,CM On-Hand,0,0,0.0015,Active in Both,CM Depletion,90,78,68,57,47,39,31,25,23,21,20,18,16
915,Qualitel,10-000657,RES SMD 750 OHM 1% 1/16W 0402 AEC-Q,Electrical Components,27236,0,0.0013504650320086968,CM On-Hand,11125,0,0.0015,Active in Both,CM Depletion,37,29,23,16,10,7,4,2,0,0,0,0,0
916,Lunar,10-000657,RES SMD 750 OHM 1% 1/16W 0402 AEC-Q,Electrical Components,0,0,0.0013504650320086968,CM On-Hand,17375,30000,0.0015,Active in Both,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
917,Lunar,10-006993,0,0,0,0,0,,0,1000,0.209,Gen 2 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
918,Sienna,10-002041,Switching Voltage Regulators OPTIREG SWITCHER,Electrical Components,2598,124,1.13,CM On-Hand,1931,0,1.13,Gen 1 Only,CM Depletion,3453,3088,2715,2326,1983,1613,1398,1103,647,68,0,0,0
919,Lunar,10-002041,Switching Voltage Regulators OPTIREG SWITCHER,Electrical Components,0,0,1.13,CM On-Hand,13069,0,1.13,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
920,Sienna,10-004545,ESS Top Cover LRG Asy,Part,1181,4870,44.59,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,54489,150803,146344,141885,153033,163512,191380,179118,166856,166856,166856,166856,166856
921,Lunar,10-004545,ESS Top Cover LRG Asy,Part,0,0,44.59,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
922,Sienna,10-000634,"Board Connector, 10 Contact(s), 2 Row(s), Male, Straight, 0.05 inch Pitch, Surface Mount Terminal, L",Electrical Components,9013,4650,0.605870706154931,CM On-Hand,400,0,2.66,Active in Both,CM Depletion,6005,6069,6187,4981,4182,3228,2340,1600,1271,960,616,196,0
923,Qualitel,10-000634,"Board Connector, 10 Contact(s), 2 Row(s), Male, Straight, 0.05 inch Pitch, Surface Mount Terminal, L",Electrical Components,10841,0,0.605870706154931,CM On-Hand,0,0,2.66,Active in Both,CM Depletion,6578,5769,5095,4402,3790,3415,3098,2834,2465,2085,1738,1318,951
924,Lunar,10-000634,"Board Connector, 10 Contact(s), 2 Row(s), Male, Straight, 0.05 inch Pitch, Surface Mount Terminal, L",Electrical Components,0,0,0.605870706154931,CM On-Hand,0,600,2.66,Active in Both,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
925,Sienna,10-001374,GANFET N-CH 80V 90A DIE AEC-Q,Electrical Components,286122,90000,0.9085042045001783,CM On-Hand,99880,0,1.9613152255972515,Gen 1 Only,CM Depletion,136385,78458,77732,20823,0,0,0,0,0,0,0,0,0
926,Lunar,10-001374,GANFET N-CH 80V 90A DIE AEC-Q,Electrical Components,0,0,0.9085042045001783,CM On-Hand,221467,0,1.9613152255972515,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
927,Lunar,10-006964,0,0,0,0,0,,0,1350,1.7677500000000002,Gen 2 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
928,Sienna,10-005289,"Adhesive, Epoxy, 2-Part, 5-min cure",Part,1864,0,0.6499999999999999,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,1293,981,461,0,0,0,0,0,0,0,0,0,0
929,Lunar,10-005289,"Adhesive, Epoxy, 2-Part, 5-min cure",Part,0,0,0.6499999999999999,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
930,Lunar,10-001975,IC EEPROM 1MBIT I2C 1MHZ 8TSSOP,Electrical Components,0,0,0,,32000,4000,1.04,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
931,Sienna,10-002705,CAP FILM 27UF 10% 700VDC RADIAL,Electrical Components,40480,62152,2.53,CM On-Hand,3960,0,2.53,Gen 1 Only,CM Depletion,101099,58190,17806,12088,12190,16086,29973,12529,8987,8987,8987,8987,8987
932,Lunar,10-002705,CAP FILM 27UF 10% 700VDC RADIAL,Electrical Components,0,0,2.53,CM On-Hand,0,59670,2.53,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
933,Sienna,10-001672,RELAY GEN PURPOSE SPDT 10A 12V,Electrical Components,14242,0,0.6027672125450676,CM On-Hand,0,0,0.49157717934480843,Active in Both,CM Depletion,8292,7270,6306,5313,4460,3709,3014,2436,2351,2351,2351,2351,2351
