product_lpn,period_start,qty
90-07535A,2026-10-01,100
90-07535A,2026-10-01,20
90-07535A,2026-11-01,4000
90-07535A,2026-11-01,0
90-07535A,2026-12-01,6000
90-07535A,2026-12-01,0
90-07535A,2027-01-01,10800
90-07535A,2027-01-01,680
90-07535A,2027-02-01,12000
90-07535A,2027-02-01,1400
90-07535A,2027-03-01,14000
90-07535A,2027-03-01,0
90-07535A,2027-04-01,20000
90-07535A,2027-04-01,0
90-07535A,2027-05-01,22000
90-07535A,2027-05-01,0
90-07535A,2027-06-01,26000
90-07535A,2027-06-01,0
90-07535A,2027-07-01,30000
90-07535A,2027-07-01,0
90-07535A,2027-08-01,32000
90-07535A,2027-08-01,0
90-07535A,2027-09-01,34000
90-07535A,2027-09-01,0
90-07535A,2027-10-01,36000
90-07535A,2027-10-01,0
90-07535A,2027-11-01,36000
90-07535A,2027-11-01,0
90-07535A,2027-12-01,36000
90-07535A,2027-12-01,0
90-07675A,2026-09-01,5000
90-07675A,2026-10-01,5000
90-07675A,2026-11-01,5000
90-07675A,2026-12-01,2232
90-07675A,2027-01-01,0
90-07675A,2027-02-01,0
90-07675A,2027-03-01,0
90-07675A,2027-04-01,0
90-07675A,2027-05-01,0
90-07675A,2027-06-01,0
90-07675A,2027-07-01,0
90-07675A,2027-08-01,0
90-07675A,2027-09-01,0
90-07675A,2027-10-01,0
90-07675A,2027-11-01,0
90-07675A,2027-12-01,0
90-08096A,2026-09-01,0
90-08096A,2026-10-01,0
90-08096A,2026-11-01,0
90-08096A,2026-12-01,50
90-08096A,2027-01-01,200
90-08096A,2027-02-01,400
90-08096A,2027-03-01,600
90-08096A,2027-04-01,800
90-08096A,2027-05-01,1000
90-08096A,2027-06-01,1200
90-08096A,2027-07-01,1400
90-08096A,2027-08-01,1550
90-08096A,2027-09-01,1700
90-08096A,2027-10-01,1800
90-08096A,2027-11-01,1800
90-08096A,2027-12-01,1700
90-08373A,2026-09-01,0
90-08373A,2026-10-01,0
90-08373A,2026-11-01,0
90-08373A,2026-12-01,200
