Updated at,source_report,raw_part_number,lpn,description,item_category,procurementtype,location,storage_location,is_consigned,owned_by,unrestricted_qty,restricted_qty,unit_price,unrestricted_value,restricted_value,revision_number,row_type,uncommitted_qty
08-18-2026,Lunar Netsuite,10-001580,10-001580,IC CURRENT SENSOR 8TISON AEC-Q,Electrical Components,OTS,Avnet,NS,FALSE,Lunar Energy,15000,0,1.25,18750,0,0,Unrestricted,5000
08-18-2026,Lunar Netsuite,10-001580,10-001580,IC CURRENT SENSOR 8TISON AEC-Q,Electrical Components,OTS,JIT - Reno,NS,FALSE,Lunar Energy,10510,0,1.3044,13709.244,0,0,Unrestricted,10510
08-18-2026,CM: Sienna GA,C10-001580 REV-2,10-001580,IC CURRENT SENSOR 8TISON AEC-Q,Electrical Components,OTS,ATLN,WS13,TRUE,Lunar Energy,2500,0,0,0,0,2,Unrestricted,2500
08-18-2026,CM: Sienna GA,10-001581 REV-01,10-001581,SPEED & CURRENT SENSORS PG-TISON,Electrical Components,OTS,ATLN,RIQC,FALSE,Sienna Corporation,5000,0,2.53,12650,0,1,Unrestricted,5000
08-18-2026,CM: Sienna GA,10-001581 REV-01,10-001581,SPEED & CURRENT SENSORS PG-TISON,Electrical Components,OTS,ATLN,LINE,FALSE,Sienna Corporation,2078,0,2.53,5257.34,0,1,Unrestricted,2078
08-18-2026,CM: Qualitel WA,814L-10-001581,10-001581,SPEED & CURRENT SENSORS PG-TISON,Electrical Components,OTS,"Seattle, WA",Stock,FALSE,Qualitel,4969,0,1.27,6310.63,0,0,Unrestricted,4969
08-18-2026,CM: Sienna GA,10-001581 REV-01,10-001581,SPEED & CURRENT SENSORS PG-TISON,Electrical Components,OTS,ATLN,MAIN,FALSE,Sienna Corporation,565,0,2.53,1429.45,0,1,Unrestricted,565
08-18-2026,CM: Sienna GA,10-001583 REV-1,10-001583,TERM REDCUBE M3 9PIN PCB,Electrical Components,OTS,ATLN,MAIN,FALSE,Sienna Corporation,21950,0,0.46,10097,0,1,Unrestricted,21950
08-18-2026,CM: Sienna GA,10-001583 REV-1,10-001583,TERM REDCUBE M3 9PIN PCB,Electrical Components,OTS,ATLN,LPAC,FALSE,Sienna Corporation,1017,0,0.46,467.82,0,1,Unrestricted,1017
08-18-2026,CM: Sienna GA,10-001583 REV-1,10-001583,TERM REDCUBE M3 9PIN PCB,Electrical Components,OTS,ATLN,LINE,FALSE,Sienna Corporation,2819,0,0.46,1296.74,0,1,Unrestricted,2819
08-18-2026,CM: Qualitel WA,814L-10-001583,10-001583,TERM REDCUBE M3 9PIN PCB,Electrical Components,OTS,"Seattle, WA",Stock,FALSE,Qualitel,32523,0,0.29,9431.67,0,0,Unrestricted,32523
08-18-2026,CM: Sienna GA,10-001595 REV-01,10-001595,ADDRESS LED DISC SERIAL RGB 1=10,Electrical Components,OTS,ATLN,LINE,FALSE,Sienna Corporation,637,0,0.214,136.318,0,1,Unrestricted,637
08-18-2026,CM: Sienna GA,10-001595 REV-01,10-001595,ADDRESS LED DISC SERIAL RGB 1=10,Electrical Components,OTS,ATLN,MAIN,FALSE,Sienna Corporation,10130,0,0.214,2167.82,0,1,Unrestricted,10130
08-18-2026,CM: Sienna GA,10-001598 REV-01,10-001598,RES SMD 1K OHM 1% 1/10W 0603,Electrical Components,OTS,ATLN,MAIN,FALSE,Sienna Corporation,34998,0,0.0012,41.9976,0,1,Unrestricted,34998
