Updated at,source_report,raw_part_number,lpn,description,item_category,procurementtype,location,storage_location,is_consigned,owned_by,unrestricted_qty,restricted_qty,unit_price,unrestricted_value,restricted_value,revision_number,row_type,uncommitted_qty
08-25-2026,CM: Sienna GA,10-002579 REV-09,10-002579,"Offset Mounting Bracket, Wall, Bridge",Part,MTS,ATLN,RR93,FALSE,Sienna Corporation,48,0,2.16,103.68,0,9,Unrestricted,48
08-25-2026,CM: Sienna GA,10-002579 REV-09,10-002579,"Offset Mounting Bracket, Wall, Bridge",Part,MTS,ATLN,RR45,FALSE,Sienna Corporation,10,0,2.16,21.6,0,9,Unrestricted,10
08-25-2026,CM: Sienna GA,10-002579 REV-09,10-002579,"Offset Mounting Bracket, Wall, Bridge",Part,MTS,ATLN,RR95,FALSE,Sienna Corporation,48,0,2.16,103.68,0,9,Unrestricted,48
08-25-2026,CM: Sienna GA,10-002579 REV-09,10-002579,"Offset Mounting Bracket, Wall, Bridge",Part,MTS,ATLN,RR65,FALSE,Sienna Corporation,48,0,2.16,103.68,0,9,Unrestricted,48
08-25-2026,CM: Sienna GA,10-002579 REV-09,10-002579,"Offset Mounting Bracket, Wall, Bridge",Part,MTS,ATLN,RR66,FALSE,Sienna Corporation,48,0,2.16,103.68,0,9,Unrestricted,48
08-25-2026,CM: Sienna GA,10-002579 REV-09,10-002579,"Offset Mounting Bracket, Wall, Bridge",Part,MTS,ATLN,RR76,FALSE,Sienna Corporation,48,0,2.16,103.68,0,9,Unrestricted,48
08-25-2026,Lunar Netsuite,10-002579,10-002579,"Offset Mounting Bracket, Wall, Bridge",Part,MTS,JIT - Reno,NS,FALSE,Lunar Energy,6,0,3.2883,19.7298,0,0,Unrestricted,6
08-25-2026,CM: Sienna GA,10-002579 REV-09,10-002579,"Offset Mounting Bracket, Wall, Bridge",Part,MTS,ATLN,RP84,FALSE,Sienna Corporation,48,0,2.16,103.68,0,9,Unrestricted,48
08-25-2026,CM: Sienna GA,10-002579 REV-09,10-002579,"Offset Mounting Bracket, Wall, Bridge",Part,MTS,ATLN,RS85,FALSE,Sienna Corporation,89,0,2.16,192.24,0,9,Unrestricted,89
08-25-2026,CM: Sienna GA,10-002579 REV-09,10-002579,"Offset Mounting Bracket, Wall, Bridge",Part,MTS,ATLN,RSA4,FALSE,Sienna Corporation,5,0,2.16,10.8,0,9,Unrestricted,5
08-25-2026,CM: Sienna GA,10-002579 REV-09,10-002579,"Offset Mounting Bracket, Wall, Bridge",Part,MTS,ATLN,RRA3,FALSE,Sienna Corporation,48,0,2.16,103.68,0,9,Unrestricted,48
08-25-2026,CM: Sienna GA,10-002579 REV-09,10-002579,"Offset Mounting Bracket, Wall, Bridge",Part,MTS,ATLN,RIQC,FALSE,Sienna Corporation,68,0,2.16,146.88,0,9,Unrestricted,68
08-25-2026,CM: Sienna GA,10-002579 REV-09,10-002579,"Offset Mounting Bracket, Wall, Bridge",Part,MTS,ATLN,RR64,FALSE,Sienna Corporation,48,0,2.16,103.68,0,9,Unrestricted,48
08-25-2026,CM: Sienna GA,10-002579 REV-09,10-002579,"Offset Mounting Bracket, Wall, Bridge",Part,MTS,ATLN,RQ76,FALSE,Sienna Corporation,48,0,2.16,103.68,0,9,Unrestricted,48
08-25-2026,CM: Sienna GA,10-002579 REV-09,10-002579,"Offset Mounting Bracket, Wall, Bridge",Part,MTS,ATLN,RJ26,FALSE,Sienna Corporation,5,0,2.16,10.8,0,9,Unrestricted,5
08-25-2026,CM: Sienna GA,10-002579 REV-09,10-002579,"Offset Mounting Bracket, Wall, Bridge",Part,MTS,ATLN,RRB4,FALSE,Sienna Corporation,48,0,2.16,103.68,0,9,Unrestricted,48
08-25-2026,CM: Sienna GA,10-002579 REV-09,10-002579,"Offset Mounting Bracket, Wall, Bridge",Part,MTS,ATLN,RRB3,FALSE,Sienna Corporation,48,0,2.16,103.68,0,9,Unrestricted,48
08-25-2026,CM: Sienna GA,C10-002588 REV-1,10-002588,RES 0 OHM JUMPER 1/20W 0201,Electrical Components,OTS,ATLN,WR42,TRUE,Lunar Energy,10000,0,0,0,0,1,Unrestricted,10000
08-25-2026,Lunar Netsuite,10-002588,10-002588,RES 0 OHM JUMPER 1/20W 0201,Electrical Components,OTS,Sienna Corporation - GA,NS,FALSE,Lunar Energy,20000,0,0.0011,22,0,0,Unrestricted,0
08-25-2026,CM: Sienna GA,C10-002588 REV-1,10-002588,RES 0 OHM JUMPER 1/20W 0201,Electrical Components,OTS,ATLN,WT81,TRUE,Lunar Energy,10000,0,0,0,0,1,Unrestricted,10000
08-25-2026,CM: Sienna GA,10-002588 REV-1,10-002588,RES 0 OHM JUMPER 1/20W 0201,Electrical Components,OTS,ATLN,LINE,FALSE,Sienna Corporation,14567,0,0.0011,16.0237,0,1,Unrestricted,14567
08-25-2026,CM: Sienna GA,10-002588 REV-1,10-002588,RES 0 OHM JUMPER 1/20W 0201,Electrical Components,OTS,ATLN,MAIN,FALSE,Sienna Corporation,10000,0,0.0011,11,0,1,Unrestricted,10000
