part,description,source,source_report,rows,extended_value
10-000985,CMC 8.2MH 500MA 2LN TH,onhand,Lunar Netsuite,1,2003.4
10-002920,DIODE SCHOTTKY 60V 5A SMC,onhand,Lunar Netsuite,1,1992.0
10-07266A,Roof Doctor Assembly,onhand,Lunar Netsuite,1,1934.0985
10-002027,"Thread Forming Screw, M2.5 X 5mm, Torx",onhand,CM: Sienna GA,2,1902.85
10-08128A,"Panel, Wall, Press-Brake",onorder,Lunar Netsuite,1,1840.0
10-08131A,"Panel, Side, Press-Brake",onorder,Lunar Netsuite,1,1840.0
10-003871,RES SMD 5.1K OHM 1% 1/10W 0603,onhand,Lunar Netsuite,1,1794.5
10-000856,CRYSTAL 16.3840MHZ 18PF SMD,onhand,Lunar Netsuite,1,1707.3
10-003081,Circuit Board Hardware - PCB 10u AU OVER NI,onhand,Lunar Netsuite,1,1695.0
10-005598,"Wire, RED, 10AWG High Flex, UL Listed as AWM, 105C",onhand,CM: Sienna GA,1,1690.0
10-005538,"Wire, BLK, 10AWG High Flex, UL Listed as AWM, 105C",onhand,CM: Sienna GA,1,1690.0
10-06833A,"Label, Compliance, Bridge, Type B",onhand,CM: Sienna GA,3,1644.06
10-005154,"Power PCBA with Conformal Coat, Inverter, D",onhand,Lunar Netsuite,1,1643.88
10-001667,DIODE ZENER 62V 590MW SOD123,onhand,Lunar Netsuite,2,1638.5244
10-002294,FLASH - NOR Memory IC 16Mb (2M x 8) SPI - Quad I/O 133 MHz 8-SOIC,onorder,Lunar Netsuite,1,1636.32
10-003415,MOSFET N-CH 55V 5A SOT223,onorder,Lunar Netsuite,2,1627.5
10-002881,CONN HEADER SMD 12POS 2.5MM,onhand,Lunar Netsuite,1,1620.0
10-001686,RES SMD 1K OHM 5% 2/3W 1206,onhand,Lunar Netsuite,1,1620.0
10-002983,RES 150K OHM 1% 1/4W 1206,onhand,Lunar Netsuite,3,1615.0
10-001563,RES SMD 39K OHM 5% 2W 2512,onhand,Lunar Netsuite,1,1595.2
10-004041,IC FLASH 1GBIT SPI 16SOW,onhand,CM: Sienna GA,1,1565.19
10-08126A,"Lunar 3 Inverter Enclosure, Front Cover, DVT1",onorder,Lunar Netsuite,1,1533.0
10-06647C,"PCBA DCDC/BMS, with Conformal Coating",onhand,Lunar Netsuite,1,1488.96
