part,description,source,source_report,rows,extended_value
10-07065A,"CONTACT, FEMALE, TE, PWR TRIPLE LOCK, 14AWG, 15A, 600V,Cu ALLOY, Sn PLT",onhand,Lunar Netsuite,1,0.0
10-005210,"TIM, PCBA, DC-DC",onhand,CM: Celestica MX,1,0.0
10-07076A,"CONTACT, FEMALE, TE, PWR TRIPLE LOCK, 12AWG, 20A, 600V,Cu ALLOY, Sn PLT",onhand,Lunar Netsuite,1,0.0
10-07180A,"Label, Compliance, LFP AC ESS System, 20kWh",onhand,CM: Sienna GA,2,0.0
20-005507,Terminal Board Type B PCB,onhand,CM: Sienna GA,1,0.0
10-004857,TVS DIODE 58VWM 67VC 2DFN,onhand,CM: Celestica MX,1,0.0
10-003856,CONN HEADER VERT 3POS 2.5MM,onhand,CM: Sienna GA,1,0.0
60-005957,PCBA DCDC_BMS_GND-North-Cut,onhand,Lunar Netsuite,1,0.0
60-005960,PCB DCDC_BMS_GND-South-Cut,onhand,Lunar Netsuite,1,0.0
60-006103,PCBA Power Board Light Copper Type B,onhand,Lunar Netsuite,1,0.0
60-006155,PCB DC-DC_BMS_1.1_Cost_Down,onhand,Lunar Netsuite,1,0.0
60-006228,PCBA 4 Channel Gate Drive Power Supply,onhand,Lunar Netsuite,1,0.0
60-006250,PCB Power Board Switch Node Traces,onhand,Lunar Netsuite,1,0.0
60-006477,"PCBA, Terminal Board Type C - Light Copper",onhand,Lunar Netsuite,1,0.0
60-006481,"PCBA, Power board Type C Light Cu",onhand,Lunar Netsuite,1,0.0
60-06569A,60-06569A Lunar MSA Controller_1 Production PCBA,onhand,Lunar Netsuite,1,0.0
60-06570A,60-06569A Lunar MSA Controller PCB,onhand,Lunar Netsuite,1,0.0
60-06742A,"Power Conversion Board A Sample, PCBA",onhand,Lunar Netsuite,1,0.0
60-06803A,"PCB, Mini Busbar Validation",onhand,Lunar Netsuite,1,0.0
90-001221,"Bridge, Boxed, Lunar Blue",onhand,CM: Sienna GA,1,0.0
10-000062,"Cover, Battery Block",onhand,CM: Celestica MX,1,0.0
10-004675,"Inductor Assy, DCDC, 22.8uH",onhand,CM: Celestica MX,1,0.0
10-004547,RES 5.1 OHM 1% 1/10W 0402 SMD AEC-Q,onhand,CM: Celestica MX,1,0.0
10-004474,"Exhaust Manifold Assy w/ CWool and Label, Battery Block",onhand,CM: Celestica MX,1,0.0
90-003540,"Inverter with Cover and Brackets, Boxed, Lunar Blue",onhand,CM: Sienna GA,1,0.0
10-004302,50 OHM 1% 50PPM 0402 1/16W AEC-Q,onhand,CM: Sienna GA,1,0.0
10-003999,"Inter-Submodule Seal, Ceramic Wool",onhand,CM: Celestica MX,1,0.0
10-003985,RES SMD 1K OHM 1% 1/10W 0603,onhand,Lunar Netsuite,1,0.0
10-003933,"Lithium Ion Cell,E41,Untrimmed",onhand,Lunar Netsuite,1,0.0
60-005959,PCBA DCDC_BMS_GND-South-Cut,onhand,Lunar Netsuite,1,0.0
60-005955,PCBA DCDC_BMS_GND-Full,onhand,Lunar Netsuite,1,0.0
10-004776,RES 0.1 OHM 0.5% 1/2W 1206,onhand,CM: Celestica MX,1,0.0
30-07552A,AFCI CT Breakout PCBA,onhand,Lunar Netsuite,1,0.0
20-06955A,"PCB, Roof Doctor",onhand,Lunar Netsuite,1,0.0
30-000738,"PCBA DCDC/BMS, Battery Block",onhand,Lunar Netsuite,1,0.0
30-000827,BMS-INV Data Collect - PCBA,onhand,Lunar Netsuite,1,0.0
30-002866,Inverter Terminal PBCA,onhand,Lunar Netsuite,1,0.0
30-003827,Lunar Bridge Rogowski Coil Pigtail PCBA,onhand,CM: Sienna GA,1,0.0
30-004051,Inverter EMC Filter,onhand,Lunar Netsuite,1,0.0
30-005029,"PCBA 1, Interface, Bridge, Type A",onhand,Lunar Netsuite,1,0.0
30-005030,"PCBA, Control, Bridge Type A",onhand,Lunar Netsuite,1,0.0
30-005127,Terminal TypeA PCBA,onhand,Lunar Netsuite,1,0.0
30-005205,Terminal Board Type A Light Copper PCBA,onhand,Lunar Netsuite,1,0.0
30-005239,Inverter Power Board Type A PCBA,onhand,Lunar Netsuite,1,0.0
30-005506,Terminal Board Type B PCBA,onhand,Lunar Netsuite,1,0.0
30-005549,"Maximizer PCBA, Type C",onhand,CM: Sienna GA,7,0.0
30-005549,"Maximizer PCBA, Type C",onhand,Lunar Netsuite,1,0.0
30-005599,DCDC Battery Block Type B,onhand,CM: Celestica MX,1,0.0
30-06829D,"Maximizer PCBA, Type D",onhand,CM: Sienna GA,2,0.0
30-06829D,"Maximizer PCBA, Type D",onhand,Lunar Netsuite,1,0.0
30-06904C,30-06904C DC-DC BMS Lunar 2 LFP DVT Spin 1 PCBA,onhand,Lunar Netsuite,1,0.0
30-06909A,30-06909A Home Controller 2.0 PCBA,onhand,Lunar Netsuite,1,0.0
30-06956A,"PCBA, Roof Doctor",onhand,Lunar Netsuite,1,0.0
10-004771,IC CURR SENSE 1 CIRCUIT SC70-5 AEC-Q,onhand,CM: Celestica MX,1,0.0
10-000042,"Lithium Ion Cell,S004a,Trimmed",onhand,CM: Celestica MX,1,0.0
