LPN,Description,GSM,Supplier,Arena UoM,Order Category,MOQ (#ESS)/EAU,Quoted EAU,MULT (Reel Size), Unit Price (@MOQ/EAU) ,MPN,MFG,Quote Date
10-005082,"Top Cover, Filter Board, Inverter",Steve Gelphman,JPOND,Each,ME critical,7000,-,-, $ 18.820 ,,,2025/09/17
10-005110,"Insulator Sheet, Filter Board Integrated",Hazel Gomes,Suzhou DL packing Material,Each,ME Non critical,7000,-,-, $ 1.510 ,,,2025/08/28
10-005124,"Screw,SEMS,M5x0.8,10mm,Bellevile washer,",Hazel Gomes,Unisteel Technology Limited,Each,ME Non critical,7000,-,-, $ 0.069 ,,,2025/09/17
10-005125,"Screw,M4x0.7 6gx12mm,BHT T15,Steel,Nylon",Hazel Gomes,Unisteel Technology Limited,Each,ME Non critical,7000,-,-, $ 0.280 ,,,2025/09/17
10-005148,"O-Ring Seal, Inductor Housing 1 to HS, D",Hazel Gomes,PARKER HANNIFIN,Each,ME Non critical,7000,-,-, $ 2.560 ,,,Parker
10-005149,"O-Ring Seal, Inductor Housing 2 to HS, D",Hazel Gomes,PARKER HANNIFIN,Each,ME Non critical,7000,-,-, $ 2.450 ,,,Parker
10-005151,Potted Wire Passthrough and Inductor Hou,Nhi Nguyen,Avnet,Each,ME Non critical,5000,-,-, $ 54.100 ,,,Quote_704747586 BNS.xls
10-005155,"Insulator Sheet, Power Board, Integrated",Hazel Gomes,Suzhou DL packing Material,Each,ME Non critical,7000,-,-, $ 2.310 ,,,2025/08/28
10-005157,Potted Pin Passthrough and Inductor Hous,Nhi Nguyen,Avnet,Each,ME Non critical,5000,-,-, $ 78.700 ,,,Quote_704747586 BNS.xls
10-005158,"Inductor Housing Plastic Pin Cap, D",Steve Gelphman,Axtonne,Each,ME critical,,-,-, $ 0.570 ,,,2025/09/18
10-005159,"Inductor Housing Plastic Pin Receptacle,",Steve Gelphman,Axtonne,Each,ME critical,,-,-, $ 0.820 ,,,2025/09/18
10-005160,"BUSBAR, PIN CONNECTORS, 3.4MMX90.6MM, FL",Steve Gelphman,JPOND,Each,ME critical,7000,-,-, $ 1.920 ,,,2025/09/17
10-005164,"Wire Harness,Inverter Exterior,Blowers/A",Tejas Dixit,Avalon,Each,ME critical,,-,-, $ 25.440 ,,,2025/10/01
10-005169,"DC Contactor Cover, D",Steve Gelphman,JPOND,Each,ME critical,7000,-,-, $ 0.590 ,,,2025/09/17
10-005176,"Protective Hat, Capacitor Board, Inverte",Steve Gelphman,JPOND,Each,ME critical,7000,-,-, $ 7.230 ,,,2025/09/17
10-005177,"Home Controller, Heat Spreader, Connecto",Steve Gelphman,Metcam,Each,ME Non critical,7000,-,-, $ 9.500 ,,,
10-005199,"TIM, PCBA, Terminal Board, Inverter",Hazel Gomes,Suzhou DL packing Material,Each,ME Non critical,7000,-,-, $ 0.150 ,,,2025/08/28
10-005247,"Screw,M3x11mm,BHT T10,Flange,BF,Steel,Zi",Hazel Gomes,Unisteel Technology Limited,Each,ME Non critical,7000,-,-, $ 0.025 ,,,2025/09/17
